iter	Passed	Remaining
904	572561	60103
905	572661	59415
906	572762	58728
907	572868	58043
908	572970	57360
909	573074	56677
910	573175	55996
911	573278	55316
912	573383	54637
913	573491	53960
914	573588	53284
915	573683	52608
916	573783	51934
917	573886	51262
918	574011	50592
919	574105	49922
920	574201	49252
921	574299	48584
922	574413	47919
923	574543	47256
924	574653	46593
925	574762	45931
926	574870	45270
927	574982	44610
928	575071	43950
929	575169	43292
930	575280	42636
931	575390	41981
932	575502	41327
933	575593	40673
934	575680	40020
935	575772	39369
936	575899	38721
937	576005	38072
938	576115	37426
939	576224	36780
940	576317	36134
941	576416	35490
942	576533	34848
943	576626	34206
944	576724	33565
945	576831	32926
946	576932	32288
947	577036	31651
948	577159	31017
949	577273	30382
950	577384	29749
951	577482	29116
952	577582	28485
953	577671	27854
954	577773	27224
955	577860	26596
956	577955	25968
957	578068	25343
958	578205	24719
959	578305	24096
960	578404	23473
961	578500	22851
962	578598	22230
963	578694	21611
964	578796	20992
965	578953	20377
966	579089	19762
967	579220	19147
968	579352	18534
969	579476	17921
970	579590	17310
971	579719	16699
972	579824	16089
973	579936	15480
974	580044	14872
975	580162	14266
976	580263	13660
977	580368	13055
978	580475	12451
979	580666	11850
980	580791	11248
981	580926	10648
982	581084	10049
983	581221	9450
984	581371	8853
985	581507	8256
986	581627	7660
987	581810	7066
988	581946	6472
989	582097	5879
990	582238	5287
991	582355	4696
992	582459	4105
993	582585	3516
994	582686	2928
995	582811	2340
996	582905	1753
997	583017	1168
998	583118	583
999	583235	0
